./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/AudioManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/DynamicsManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/EditorSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/InputManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/PresetManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/ProjectVersion.txt - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/QualitySettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TagManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimeManager.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/TimelineSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/2022_GP2_Team12/Movr_Team12/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.

